
 ################################################## 
TRAIN 	tag: 2nd 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=1.603  | A=0.213) 	Valid(L=1.586  | A=0.270) 	Test(L=1.592  | A=0.221) 	> Best
2 	Train(L=1.577  | A=0.236) 	Valid(L=1.567  | A=0.180) 	Test(L=1.572  | A=0.233) 	> Best
3 	Train(L=1.560  | A=0.230) 	Valid(L=1.561  | A=0.175) 	Test(L=1.559  | A=0.244) 	> Best
4 	Train(L=1.551  | A=0.239) 	Valid(L=1.563  | A=0.170) 	Test(L=1.563  | A=0.258) 
5 	Train(L=1.547  | A=0.237) 	Valid(L=1.565  | A=0.170) 	Test(L=1.554  | A=0.258) 
6 	Train(L=1.546  | A=0.241) 	Valid(L=1.551  | A=0.170) 	Test(L=1.557  | A=0.258) 	> Best

 ################################################## 
TRAIN 	tag: 2nd 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=1.606  | A=0.240) 	Valid(L=1.599  | A=0.170) 	Test(L=1.591  | A=0.258) 	> Best
2 	Train(L=1.579  | A=0.240) 	Valid(L=1.578  | A=0.170) 	Test(L=1.570  | A=0.258) 	> Best
3 	Train(L=1.560  | A=0.242) 	Valid(L=1.570  | A=0.170) 	Test(L=1.557  | A=0.258) 	> Best
4 	Train(L=1.551  | A=0.238) 	Valid(L=1.559  | A=0.170) 	Test(L=1.549  | A=0.258) 	> Best
5 	Train(L=1.548  | A=0.244) 	Valid(L=1.554  | A=0.170) 	Test(L=1.554  | A=0.258) 	> Best
6 	Train(L=1.545  | A=0.245) 	Valid(L=1.560  | A=0.190) 	Test(L=1.557  | A=0.273) 
7 	Train(L=1.545  | A=0.231) 	Valid(L=1.543  | A=0.170) 	Test(L=1.557  | A=0.258) 	> Best
8 	Train(L=1.545  | A=0.233) 	Valid(L=1.564  | A=0.170) 	Test(L=1.550  | A=0.258) 

 ################################################## 
TRAIN 	tag: 2nd 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=1.601  | A=0.228) 	Valid(L=1.589  | A=0.180) 	Test(L=1.589  | A=0.233) 	> Best
2 	Train(L=1.576  | A=0.236) 	Valid(L=1.571  | A=0.180) 	Test(L=1.569  | A=0.233) 	> Best
3 	Train(L=1.560  | A=0.236) 	Valid(L=1.561  | A=0.170) 	Test(L=1.563  | A=0.258) 	> Best
4 	Train(L=1.552  | A=0.235) 	Valid(L=1.557  | A=0.170) 	Test(L=1.556  | A=0.258) 	> Best
5 	Train(L=1.549  | A=0.237) 	Valid(L=1.561  | A=0.170) 	Test(L=1.552  | A=0.258) 
6 	Train(L=1.547  | A=0.237) 	Valid(L=1.552  | A=0.170) 	Test(L=1.559  | A=0.258) 	> Best
7 	Train(L=1.545  | A=0.238) 	Valid(L=1.552  | A=0.170) 	Test(L=1.557  | A=0.258) 	> Best
8 	Train(L=1.545  | A=0.233) 	Valid(L=1.547  | A=0.170) 	Test(L=1.553  | A=0.258) 	> Best
9 	Train(L=1.544  | A=0.239) 	Valid(L=1.551  | A=0.170) 	Test(L=1.545  | A=0.258) 
10 	Train(L=1.545  | A=0.248) 	Valid(L=1.551  | A=0.170) 	Test(L=1.549  | A=0.258) 
11 	Train(L=1.543  | A=0.243) 	Valid(L=1.562  | A=0.170) 	Test(L=1.564  | A=0.258) 
12 	Train(L=1.544  | A=0.235) 	Valid(L=1.558  | A=0.170) 	Test(L=1.549  | A=0.258) 
13 	Train(L=1.544  | A=0.256) 	Valid(L=1.575  | A=0.170) 	Test(L=1.561  | A=0.258) 
14 	Train(L=1.544  | A=0.242) 	Valid(L=1.550  | A=0.170) 	Test(L=1.549  | A=0.258) 
15 	Train(L=1.543  | A=0.245) 	Valid(L=1.551  | A=0.170) 	Test(L=1.549  | A=0.258) 
16 	Train(L=1.544  | A=0.244) 	Valid(L=1.562  | A=0.170) 	Test(L=1.564  | A=0.258) 
17 	Train(L=1.543  | A=0.244) 	Valid(L=1.557  | A=0.170) 	Test(L=1.553  | A=0.258) 
18 	Train(L=1.543  | A=0.247) 	Valid(L=1.553  | A=0.170) 	Test(L=1.556  | A=0.258) 
19 	Train(L=1.542  | A=0.263) 	Valid(L=1.549  | A=0.180) 	Test(L=1.549  | A=0.265) 
20 	Train(L=1.542  | A=0.267) 	Valid(L=1.554  | A=0.245) 	Test(L=1.560  | A=0.292) 
21 	Train(L=1.542  | A=0.267) 	Valid(L=1.557  | A=0.180) 	Test(L=1.548  | A=0.266) 
22 	Train(L=1.541  | A=0.269) 	Valid(L=1.551  | A=0.225) 	Test(L=1.554  | A=0.287) 
23 	Train(L=1.539  | A=0.277) 	Valid(L=1.558  | A=0.230) 	Test(L=1.550  | A=0.300) 
24 	Train(L=1.537  | A=0.289) 	Valid(L=1.559  | A=0.225) 	Test(L=1.557  | A=0.315) 
25 	Train(L=1.535  | A=0.282) 	Valid(L=1.550  | A=0.310) 	Test(L=1.548  | A=0.354) 
26 	Train(L=1.526  | A=0.351) 	Valid(L=1.527  | A=0.370) 	Test(L=1.540  | A=0.354) 	> Best
27 	Train(L=1.513  | A=0.340) 	Valid(L=1.512  | A=0.380) 	Test(L=1.514  | A=0.410) 	> Best
28 	Train(L=1.471  | A=0.382) 	Valid(L=1.432  | A=0.405) 	Test(L=1.469  | A=0.395) 	> Best
29 	Train(L=1.386  | A=0.467) 	Valid(L=1.333  | A=0.465) 	Test(L=1.360  | A=0.495) 	> Best
30 	Train(L=1.230  | A=0.513) 	Valid(L=1.109  | A=0.565) 	Test(L=1.125  | A=0.586) 	> Best
31 	Train(L=1.038  | A=0.608) 	Valid(L=0.927  | A=0.655) 	Test(L=0.960  | A=0.677) 	> Best
32 	Train(L=0.924  | A=0.655) 	Valid(L=0.865  | A=0.680) 	Test(L=0.944  | A=0.688) 	> Best
33 	Train(L=0.886  | A=0.660) 	Valid(L=0.868  | A=0.700) 	Test(L=0.825  | A=0.695) 
34 	Train(L=0.852  | A=0.678) 	Valid(L=0.860  | A=0.670) 	Test(L=0.870  | A=0.705) 	> Best
35 	Train(L=0.791  | A=0.703) 	Valid(L=0.846  | A=0.710) 	Test(L=0.784  | A=0.699) 	> Best
36 	Train(L=0.806  | A=0.692) 	Valid(L=0.856  | A=0.670) 	Test(L=0.838  | A=0.701) 
37 	Train(L=0.803  | A=0.687) 	Valid(L=0.780  | A=0.715) 	Test(L=0.736  | A=0.723) 	> Best
38 	Train(L=0.744  | A=0.725) 	Valid(L=0.775  | A=0.720) 	Test(L=0.720  | A=0.714) 	> Best
39 	Train(L=0.709  | A=0.745) 	Valid(L=0.728  | A=0.740) 	Test(L=0.785  | A=0.739) 	> Best
40 	Train(L=0.722  | A=0.731) 	Valid(L=0.764  | A=0.730) 	Test(L=0.714  | A=0.751) 
41 	Train(L=0.686  | A=0.752) 	Valid(L=0.780  | A=0.700) 	Test(L=0.718  | A=0.754) 
42 	Train(L=0.629  | A=0.766) 	Valid(L=0.643  | A=0.765) 	Test(L=0.693  | A=0.772) 	> Best
43 	Train(L=0.597  | A=0.774) 	Valid(L=0.646  | A=0.765) 	Test(L=0.608  | A=0.781) 
44 	Train(L=0.607  | A=0.770) 	Valid(L=0.666  | A=0.785) 	Test(L=0.592  | A=0.800) 
45 	Train(L=0.589  | A=0.786) 	Valid(L=0.635  | A=0.770) 	Test(L=0.595  | A=0.785) 	> Best
46 	Train(L=0.559  | A=0.797) 	Valid(L=0.631  | A=0.740) 	Test(L=0.663  | A=0.782) 	> Best
47 	Train(L=0.531  | A=0.804) 	Valid(L=0.617  | A=0.780) 	Test(L=0.514  | A=0.815) 	> Best
48 	Train(L=0.477  | A=0.823) 	Valid(L=0.516  | A=0.820) 	Test(L=0.498  | A=0.833) 	> Best
