
 ################################################## 
TRAIN 	tag: 3-Alex 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=1.690  | A=0.468) 	Valid(L=1.618  | A=0.180) 	Test(L=1.634  | A=0.233) 	> Best
2 	Train(L=1.609  | A=0.232) 	Valid(L=1.591  | A=0.180) 	Test(L=1.596  | A=0.233) 	> Best
3 	Train(L=1.580  | A=0.232) 	Valid(L=1.573  | A=0.180) 	Test(L=1.576  | A=0.233) 	> Best
4 	Train(L=1.562  | A=0.216) 	Valid(L=1.567  | A=0.270) 	Test(L=1.557  | A=0.220) 	> Best
5 	Train(L=1.553  | A=0.229) 	Valid(L=1.558  | A=0.170) 	Test(L=1.556  | A=0.258) 	> Best
6 	Train(L=1.549  | A=0.240) 	Valid(L=1.561  | A=0.170) 	Test(L=1.554  | A=0.258) 
7 	Train(L=1.547  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.550  | A=0.258) 	> Best
8 	Train(L=1.546  | A=0.240) 	Valid(L=1.563  | A=0.170) 	Test(L=1.549  | A=0.258) 
9 	Train(L=1.546  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.564  | A=0.258) 
10 	Train(L=1.545  | A=0.235) 	Valid(L=1.558  | A=0.170) 	Test(L=1.554  | A=0.258) 
11 	Train(L=1.545  | A=0.242) 	Valid(L=1.553  | A=0.170) 	Test(L=1.549  | A=0.258) 
12 	Train(L=1.545  | A=0.240) 	Valid(L=1.562  | A=0.170) 	Test(L=1.553  | A=0.258) 
13 	Train(L=1.545  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.556  | A=0.258) 
14 	Train(L=1.545  | A=0.240) 	Valid(L=1.550  | A=0.170) 	Test(L=1.557  | A=0.258) 	> Best
15 	Train(L=1.545  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.558  | A=0.258) 
16 	Train(L=1.545  | A=0.232) 	Valid(L=1.562  | A=0.170) 	Test(L=1.558  | A=0.258) 
17 	Train(L=1.545  | A=0.240) 	Valid(L=1.567  | A=0.170) 	Test(L=1.561  | A=0.258) 
18 	Train(L=1.544  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.562  | A=0.258) 
19 	Train(L=1.544  | A=0.240) 	Valid(L=1.553  | A=0.170) 	Test(L=1.561  | A=0.258) 
20 	Train(L=1.544  | A=0.240) 	Valid(L=1.559  | A=0.170) 	Test(L=1.566  | A=0.258) 
21 	Train(L=1.545  | A=0.240) 	Valid(L=1.556  | A=0.170) 	Test(L=1.545  | A=0.258) 
22 	Train(L=1.544  | A=0.240) 	Valid(L=1.550  | A=0.170) 	Test(L=1.558  | A=0.258) 
23 	Train(L=1.545  | A=0.240) 	Valid(L=1.562  | A=0.170) 	Test(L=1.566  | A=0.258) 
24 	Train(L=1.544  | A=0.240) 	Valid(L=1.542  | A=0.170) 	Test(L=1.550  | A=0.258) 	> Best
25 	Train(L=1.544  | A=0.240) 	Valid(L=1.585  | A=0.170) 	Test(L=1.558  | A=0.258) 
26 	Train(L=1.544  | A=0.240) 	Valid(L=1.542  | A=0.170) 	Test(L=1.553  | A=0.258) 
27 	Train(L=1.544  | A=0.240) 	Valid(L=1.574  | A=0.170) 	Test(L=1.554  | A=0.258) 
28 	Train(L=1.544  | A=0.240) 	Valid(L=1.550  | A=0.170) 	Test(L=1.562  | A=0.258) 
29 	Train(L=1.545  | A=0.240) 	Valid(L=1.550  | A=0.170) 	Test(L=1.546  | A=0.258) 
30 	Train(L=1.544  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.561  | A=0.258) 
31 	Train(L=1.544  | A=0.240) 	Valid(L=1.570  | A=0.170) 	Test(L=1.558  | A=0.258) 
32 	Train(L=1.544  | A=0.240) 	Valid(L=1.555  | A=0.170) 	Test(L=1.554  | A=0.258) 
33 	Train(L=1.544  | A=0.240) 	Valid(L=1.565  | A=0.170) 	Test(L=1.554  | A=0.258) 
34 	Train(L=1.545  | A=0.240) 	Valid(L=1.562  | A=0.170) 	Test(L=1.549  | A=0.258) 
35 	Train(L=1.545  | A=0.240) 	Valid(L=1.550  | A=0.170) 	Test(L=1.553  | A=0.258) 
36 	Train(L=1.544  | A=0.240) 	Valid(L=1.556  | A=0.170) 	Test(L=1.557  | A=0.258) 
37 	Train(L=1.544  | A=0.240) 	Valid(L=1.564  | A=0.170) 	Test(L=1.561  | A=0.258) 
38 	Train(L=1.544  | A=0.240) 	Valid(L=1.571  | A=0.170) 	Test(L=1.562  | A=0.258) 
39 	Train(L=1.544  | A=0.240) 	Valid(L=1.561  | A=0.170) 	Test(L=1.557  | A=0.258) 
40 	Train(L=1.544  | A=0.240) 	Valid(L=1.572  | A=0.170) 	Test(L=1.561  | A=0.258) 
41 	Train(L=1.544  | A=0.240) 	Valid(L=1.543  | A=0.170) 	Test(L=1.549  | A=0.258) 
42 	Train(L=1.544  | A=0.240) 	Valid(L=1.554  | A=0.170) 	Test(L=1.569  | A=0.258) 
43 	Train(L=1.545  | A=0.240) 	Valid(L=1.554  | A=0.170) 	Test(L=1.562  | A=0.258) 
44 	Train(L=1.544  | A=0.240) 	Valid(L=1.561  | A=0.170) 	Test(L=1.562  | A=0.258) 
45 	Train(L=1.544  | A=0.240) 	Valid(L=1.554  | A=0.170) 	Test(L=1.558  | A=0.258) 
46 	Train(L=1.544  | A=0.240) 	Valid(L=1.566  | A=0.170) 	Test(L=1.550  | A=0.258) 
47 	Train(L=1.544  | A=0.240) 	Valid(L=1.555  | A=0.170) 	Test(L=1.550  | A=0.258) 
48 	Train(L=1.544  | A=0.240) 	Valid(L=1.561  | A=0.170) 	Test(L=1.554  | A=0.258) 
49 	Train(L=1.545  | A=0.240) 	Valid(L=1.569  | A=0.170) 	Test(L=1.556  | A=0.258) 
50 	Train(L=1.545  | A=0.240) 	Valid(L=1.548  | A=0.170) 	Test(L=1.557  | A=0.258) 
51 	Train(L=1.544  | A=0.240) 	Valid(L=1.564  | A=0.170) 	Test(L=1.551  | A=0.258) 
52 	Train(L=1.544  | A=0.240) 	Valid(L=1.545  | A=0.170) 	Test(L=1.554  | A=0.258) 
53 	Train(L=1.544  | A=0.240) 	Valid(L=1.554  | A=0.170) 	Test(L=1.566  | A=0.258) 
54 	Train(L=1.544  | A=0.240) 	Valid(L=1.562  | A=0.170) 	Test(L=1.554  | A=0.258) 
55 	Train(L=1.544  | A=0.240) 	Valid(L=1.568  | A=0.170) 	Test(L=1.554  | A=0.258) 
56 	Train(L=1.545  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.557  | A=0.258) 
57 	Train(L=1.545  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.562  | A=0.258) 
58 	Train(L=1.544  | A=0.240) 	Valid(L=1.571  | A=0.170) 	Test(L=1.553  | A=0.258) 
59 	Train(L=1.545  | A=0.240) 	Valid(L=1.556  | A=0.170) 	Test(L=1.561  | A=0.258) 
60 	Train(L=1.544  | A=0.240) 	Valid(L=1.556  | A=0.170) 	Test(L=1.545  | A=0.258) 
61 	Train(L=1.544  | A=0.240) 	Valid(L=1.556  | A=0.170) 	Test(L=1.554  | A=0.258) 
62 	Train(L=1.544  | A=0.240) 	Valid(L=1.571  | A=0.170) 	Test(L=1.556  | A=0.258) 
63 	Train(L=1.544  | A=0.240) 	Valid(L=1.559  | A=0.170) 	Test(L=1.561  | A=0.258) 
64 	Train(L=1.545  | A=0.240) 	Valid(L=1.557  | A=0.170) 	Test(L=1.561  | A=0.258) 
65 	Train(L=1.544  | A=0.240) 	Valid(L=1.566  | A=0.170) 	Test(L=1.553  | A=0.258) 
66 	Train(L=1.544  | A=0.240) 	Valid(L=1.560  | A=0.170) 	Test(L=1.554  | A=0.258) 
67 	Train(L=1.544  | A=0.240) 	Valid(L=1.550  | A=0.170) 	Test(L=1.549  | A=0.258) 
68 	Train(L=1.544  | A=0.240) 	Valid(L=1.557  | A=0.170) 	Test(L=1.550  | A=0.258) 
