
 ################################################## 
TRAIN 	tag: 4-Dense 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=52.260  | A=0.259) 	Valid(L=124485912.000  | A=0.300) 	Test(L=131137888.800  | A=0.207) 	> Best
2 	Train(L=76.044  | A=0.244) 	Valid(L=20289.594  | A=0.180) 	Test(L=17311.972  | A=0.217) 	> Best
3 	Train(L=74.503  | A=0.240) 	Valid(L=439602.510  | A=0.275) 	Test(L=468927.019  | A=0.224) 
4 	Train(L=51.661  | A=0.256) 	Valid(L=125.852  | A=0.125) 	Test(L=81.315  | A=0.203) 	> Best
5 	Train(L=43.075  | A=0.205) 	Valid(L=3.947  | A=0.340) 	Test(L=3.981  | A=0.224) 	> Best
6 	Train(L=31.074  | A=0.258) 	Valid(L=6.947  | A=0.290) 	Test(L=10.104  | A=0.290) 
7 	Train(L=20.313  | A=0.252) 	Valid(L=3.513  | A=0.240) 	Test(L=9.177  | A=0.176) 	> Best
8 	Train(L=19.624  | A=0.259) 	Valid(L=2.484  | A=0.245) 	Test(L=2.251  | A=0.207) 	> Best
9 	Train(L=12.912  | A=0.237) 	Valid(L=2.217  | A=0.205) 	Test(L=2.143  | A=0.274) 	> Best
10 	Train(L=6.992  | A=0.253) 	Valid(L=1.684  | A=0.200) 	Test(L=1.826  | A=0.250) 	> Best
11 	Train(L=3.821  | A=0.262) 	Valid(L=2.914  | A=0.305) 	Test(L=2.182  | A=0.250) 
12 	Train(L=3.057  | A=0.317) 	Valid(L=3.148  | A=0.350) 	Test(L=1.765  | A=0.260) 
13 	Train(L=3.026  | A=0.317) 	Valid(L=3.018  | A=0.385) 	Test(L=1.898  | A=0.256) 
14 	Train(L=4.335  | A=0.316) 	Valid(L=791.050  | A=0.255) 	Test(L=617.321  | A=0.287) 
15 	Train(L=2.768  | A=0.340) 	Valid(L=13.953  | A=0.295) 	Test(L=6.400  | A=0.326) 
16 	Train(L=2.636  | A=0.343) 	Valid(L=2.820  | A=0.345) 	Test(L=2.407  | A=0.336) 
17 	Train(L=2.482  | A=0.345) 	Valid(L=2.618  | A=0.355) 	Test(L=1.710  | A=0.343) 
18 	Train(L=2.246  | A=0.352) 	Valid(L=21.122  | A=0.350) 	Test(L=5.006  | A=0.340) 
19 	Train(L=2.001  | A=0.356) 	Valid(L=5.687  | A=0.385) 	Test(L=3.485  | A=0.304) 
20 	Train(L=1.861  | A=0.357) 	Valid(L=1.697  | A=0.340) 	Test(L=1.640  | A=0.314) 
