
 ################################################## 
TRAIN 	tag: 9-CnnRnn-like5 
Data Prepared:
 	TRAIN:2300
 	VALID:200
 	TEST:800
1 	Train(L=1.602  | A=0.232) 	Valid(L=1.604  | A=0.180) 	Test(L=1.601  | A=0.233) 	> Best
2 	Train(L=1.599  | A=0.232) 	Valid(L=1.599  | A=0.180) 	Test(L=1.598  | A=0.233) 	> Best
3 	Train(L=1.595  | A=0.232) 	Valid(L=1.594  | A=0.180) 	Test(L=1.595  | A=0.233) 	> Best
4 	Train(L=1.591  | A=0.232) 	Valid(L=1.591  | A=0.180) 	Test(L=1.591  | A=0.233) 	> Best
5 	Train(L=1.587  | A=0.232) 	Valid(L=1.590  | A=0.180) 	Test(L=1.587  | A=0.233) 	> Best
6 	Train(L=1.584  | A=0.232) 	Valid(L=1.588  | A=0.180) 	Test(L=1.586  | A=0.233) 	> Best
7 	Train(L=1.581  | A=0.228) 	Valid(L=1.584  | A=0.210) 	Test(L=1.582  | A=0.242) 	> Best
8 	Train(L=1.579  | A=0.250) 	Valid(L=1.580  | A=0.190) 	Test(L=1.580  | A=0.259) 	> Best
9 	Train(L=1.576  | A=0.244) 	Valid(L=1.577  | A=0.170) 	Test(L=1.576  | A=0.258) 	> Best
10 	Train(L=1.574  | A=0.240) 	Valid(L=1.579  | A=0.170) 	Test(L=1.576  | A=0.258) 
11 	Train(L=1.572  | A=0.240) 	Valid(L=1.573  | A=0.170) 	Test(L=1.575  | A=0.258) 	> Best
12 	Train(L=1.570  | A=0.240) 	Valid(L=1.571  | A=0.170) 	Test(L=1.574  | A=0.258) 	> Best
13 	Train(L=1.568  | A=0.240) 	Valid(L=1.573  | A=0.170) 	Test(L=1.572  | A=0.258) 
14 	Train(L=1.567  | A=0.240) 	Valid(L=1.574  | A=0.170) 	Test(L=1.567  | A=0.258) 
15 	Train(L=1.565  | A=0.240) 	Valid(L=1.573  | A=0.170) 	Test(L=1.575  | A=0.258) 
16 	Train(L=1.564  | A=0.240) 	Valid(L=1.570  | A=0.170) 	Test(L=1.569  | A=0.258) 	> Best
17 	Train(L=1.563  | A=0.240) 	Valid(L=1.569  | A=0.170) 	Test(L=1.569  | A=0.258) 	> Best
18 	Train(L=1.561  | A=0.240) 	Valid(L=1.566  | A=0.170) 	Test(L=1.566  | A=0.258) 	> Best
19 	Train(L=1.560  | A=0.240) 	Valid(L=1.567  | A=0.170) 	Test(L=1.562  | A=0.258) 
20 	Train(L=1.559  | A=0.240) 	Valid(L=1.570  | A=0.170) 	Test(L=1.561  | A=0.258) 
21 	Train(L=1.558  | A=0.240) 	Valid(L=1.571  | A=0.170) 	Test(L=1.561  | A=0.258) 
22 	Train(L=1.557  | A=0.240) 	Valid(L=1.563  | A=0.170) 	Test(L=1.560  | A=0.258) 	> Best
23 	Train(L=1.556  | A=0.240) 	Valid(L=1.568  | A=0.170) 	Test(L=1.564  | A=0.258) 
24 	Train(L=1.555  | A=0.240) 	Valid(L=1.565  | A=0.170) 	Test(L=1.564  | A=0.258) 
25 	Train(L=1.555  | A=0.240) 	Valid(L=1.565  | A=0.170) 	Test(L=1.569  | A=0.258) 
26 	Train(L=1.554  | A=0.240) 	Valid(L=1.564  | A=0.170) 	Test(L=1.563  | A=0.258) 
27 	Train(L=1.553  | A=0.240) 	Valid(L=1.564  | A=0.170) 	Test(L=1.556  | A=0.258) 
28 	Train(L=1.553  | A=0.240) 	Valid(L=1.564  | A=0.170) 	Test(L=1.557  | A=0.258) 
